equipmentId,equipmentName,pointId,statusRequired
JH-O-P01E01,合成气及42设备框架,JH-O-P01,NO
JH-O-P02E01,分析小屋周边,JH-O-P02,NO
JH-O-P02E02,MDEA溶液回收泵P4006,JH-O-P02,YES
JH-O-P02E03,地下罐V4005,JH-O-P02,NO
JH-O-P03E01,吸收塔C4001及周围,JH-O-P03,NO
JH-O-P03E02,循环泵P4008,JH-O-P03,YES
JH-O-P03E03,凝液加压泵P4004A,JH-O-P03,YES
JH-O-P03E04,凝液加压泵P4004B,JH-O-P03,YES
JH-O-P03E05,塔底净化水泵P-4201A,JH-O-P03,YES
JH-O-P03E06,塔底净化水泵P-4201B,JH-O-P03,YES
JH-O-P03E07,汽提塔塔顶回流泵P4202A,JH-O-P03,YES
JH-O-P03E08,汽提塔塔顶回流泵P4202B,JH-O-P03,YES
JH-O-P03E09,消泡剂系统,JH-O-P03,YES
JH-O-P03E10,侧流过滤器S4001,JH-O-P03,NO
JH-O-P04E01,二层框架,JH-O-P04,NO
JH-O-P05E01,开工循环压缩机K4001,JH-O-P05,NO
JH-O-P05E02,贫液泵P4002A,JH-O-P05,YES
JH-O-P05E03,贫液泵P4002B,JH-O-P05,YES
JH-O-P05E04,MDEA溶液储罐T4001,JH-O-P05,NO
JH-O-P05E05,电渗析装置,JH-O-P05,YES
JH-O-P05E06,补液泵P4003A,JH-O-P05,YES
JH-O-P05E07,补液泵P4003B,JH-O-P05,NO
JH-O-P05E08,塔顶回流泵P4001A,JH-O-P05,YES
JH-O-P05E09,塔顶回流泵P4001B,JH-O-P05,YES
JH-O-P05E10,再生塔再沸器E4008,JH-O-P05,NO
JH-O-P06E01,吸收氧化塔,JH-O-P06,NO
JH-O-P06E02,硫磺浆液泵P5202,JH-O-P06,YES
JH-O-P06E03,硫磺浆液泵P5102,JH-O-P06,YES
JH-O-P06E04,KOH加药泵,JH-O-P06,NO
JH-O-P06E05,KOH加药储罐,JH-O-P06,NO
JH-O-P06E06,ARI-350加药泵,JH-O-P06,NO
JH-O-P06E07,ARI-350加药储罐,JH-O-P06,NO
JH-O-P07E01,水洗循环泵P5501A,JH-O-P07,YES
JH-O-P07E02,水洗循环泵P5501B,JH-O-P07,YES
JH-O-P07E03,引风机K5502A,JH-O-P07,YES
JH-O-P07E04,引风机K5502B,JH-O-P07,YES
JH-O-P07E05,UV光催化箱S5502,JH-O-P07,NO
JH-O-P08E01,循环泵P5101A,JH-O-P08,YES
JH-O-P08E02,循环泵P5101B,JH-O-P08,YES
JH-O-P08E03,热水泵P5013A,JH-O-P08,YES
JH-O-P08E04,热水泵P5013B,JH-O-P08,YES
JH-O-P08E05,热水罐T5009,JH-O-P08,NO
JH-O-P08E06,循环泵P5201A,JH-O-P08,YES
JH-O-P08E07,循环泵P5201B,JH-O-P08,YES
JH-O-P09E01,空气鼓风机K5001A,JH-O-P09,YES
JH-O-P09E02,空气鼓风机K5001B,JH-O-P09,YES
JH-O-P09E03,空气鼓风机K5001C,JH-O-P09,YES
JH-O-P10E01,真空泵P5104,JH-O-P10,YES
JH-O-P10E02,真空泵P5204,JH-O-P10,YES
JH-O-P10E03,滤液返回泵P5103,JH-O-P10,YES
JH-O-P10E04,滤液返回泵P5203,JH-O-P10,YES
JH-O-P10E05,滤液返回泵P5707,JH-O-P10,YES
JH-O-P10E06,滤液返回罐,JH-O-P10,NO
JH-O-P10E07,ARI-340加药泵,JH-O-P10,NO
JH-O-P10E08,ARI-400加药泵,JH-O-P10,NO
JH-O-P10E09,ARI-600加药泵,JH-O-P10,NO
JH-O-P10E10,硫磺泡沫泵P5110A,JH-O-P10,YES
JH-O-P10E11,硫磺泡沫泵P5110B,JH-O-P10,YES
JH-O-P10E12,硫磺泡沫泵P5210A,JH-O-P10,YES
JH-O-P10E13,硫磺泡沫泵P5210B,JH-O-P10,YES
JH-O-P10E14,成浆槽,JH-O-P10,NO
JH-O-P11E01,真空皮带机S5101,JH-O-P11,YES
JH-O-P11E02,真空皮带机S5201,JH-O-P11,YES
JH-O-P11E03,真空皮带机PLC,JH-O-P11,NO
JH-O-P11E04,熔硫釜,JH-O-P11,NO
JH-O-P11E05,液硫罐,JH-O-P11,NO
JH-O-P11E06,液硫泵P5012A,JH-O-P11,YES
