pointId,name,location,routeId,tagUid
JH-O-P01,JH-O-P01,JH-O-P01,JH-O,04FF75FAFE1290
JH-O-P02,JH-O-P02,JH-O-P02,JH-O,044528FAFE1291
JH-O-P03,JH-O-P03,JH-O-P03,JH-O,04A36AFAFE1290
JH-O-P04,JH-O-P04,JH-O-P04,JH-O,04B3B9FAFE1290
JH-O-P05,JH-O-P05,JH-O-P05,JH-O,04713AFAFE1290
JH-O-P06,JH-O-P06,JH-O-P06,JH-O,046552FAFE1290
JH-O-P07,JH-O-P07,JH-O-P07,JH-O,04075FFAFE1291
JH-O-P08,JH-O-P08,JH-O-P08,JH-O,0447DCFAFE1291
JH-O-P09,JH-O-P09,JH-O-P09,JH-O,042C17FAFE1291
JH-O-P10,JH-O-P10,JH-O-P10,JH-O,04B011FAFE1290
JH-O-P11,JH-O-P11,JH-O-P11,JH-O,04076DFAFE1291
JH-O-P12,JH-O-P12,JH-O-P12,JH-O,04453FFAFE1291
JH-O-P13,JH-O-P13,JH-O-P13,JH-O,04A516FAFE1290
JH-O-P14,JH-O-P14,JH-O-P14,JH-O,04B10BFAFE1290
JH-O-P15,JH-O-P15,JH-O-P15,JH-O,04C1D0FAFE1290
JH-C-P01,JH-C-P01,JH-C-P01,JH-C,0447E0FAFE1291
JH-C-P02,JH-C-P02,JH-C-P02,JH-C,04F2E0FAFE1290
JH-C-P03,JH-C-P03,JH-C-P03,JH-C,047169FAFE1290
JH-C-P04,JH-C-P04,JH-C-P04,JH-C,044C73FAFE1291
JH-C-P05,JH-C-P05,JH-C-P05,JH-C,04217AFAFE1291
JH-C-P06,JH-C-P06,JH-C-P06,JH-C,043E9EFAFE1291
JH-C-P07,JH-C-P07,JH-C-P07,JH-C,04B115FAFE1290
JH-C-P08,JH-C-P08,JH-C-P08,JH-C,0475C6FAFE1291
JH-C-P09,JH-C-P09,JH-C-P09,JH-C,04FF99FAFE1290
JH-C-P10,JH-C-P10,JH-C-P10,JH-C,047654FAFE1290
JH-C-P11,JH-C-P11,JH-C-P11,JH-C,0432B5FAFE1290
JH-C-P12,JH-C-P12,JH-C-P12,JH-C,04562BFAFE1291
JH-C-P13,JH-C-P13,JH-C-P13,JH-C,042188FAFE1291
JH-C-P14,JH-C-P14,JH-C-P14,JH-C,04271DFAFE1291
JH-C-P15,JH-C-P15,JH-C-P15,JH-C,044CADFAFE1291
