equipmentId,itemId,itemName,type,unit,required,minValue,maxValue,freqHours,requiredInStandby
KF-O-P01E01,KF-O-P01E01I01,出口空气温度＜100℃,BOOLEAN,,1,,,4,no
KF-O-P01E01,KF-O-P01E01I02,出口空气压力0.6-0.85MPa,BOOLEAN,,1,,,4,no
KF-O-P01E01,KF-O-P01E01I03,油分离器油位＞2/3,BOOLEAN,,1,,,4,no
KF-O-P01E01,KF-O-P01E01I04,进水压力＞0.25MPa，回水温度＜43℃,BOOLEAN,,1,,,4,no
KF-O-P01E01,KF-O-P01E01I05,空压机和电机各轴承温度＜70℃、振动＜85um，电机温升＜55℃，无异音,BOOLEAN,,1,,,4,no
KF-O-P01E02,KF-O-P01E02I01,出口空气温度＜100℃,BOOLEAN,,1,,,4,no
KF-O-P01E02,KF-O-P01E02I02,出口空气压力0.6-0.85MPa,BOOLEAN,,1,,,4,no
KF-O-P01E02,KF-O-P01E02I03,油分离器油位＞2/3,BOOLEAN,,1,,,4,no
KF-O-P01E02,KF-O-P01E02I04,进水压力＞0.25MPa，回水温度＜43℃,BOOLEAN,,1,,,4,no
KF-O-P01E02,KF-O-P01E02I05,空压机和电机各轴承温度＜70℃、振动＜85um，电机温升＜55℃，无异音,BOOLEAN,,1,,,4,no
KF-O-P01E03,KF-O-P01E03I01,出口空气温度＜100℃,BOOLEAN,,1,,,4,no
KF-O-P01E03,KF-O-P01E03I02,出口空气压力0.6-0.85MPa,BOOLEAN,,1,,,4,no
KF-O-P01E03,KF-O-P01E03I03,油分离器油位＞2/3,BOOLEAN,,1,,,4,no
KF-O-P01E03,KF-O-P01E03I04,进水压力＞0.25MPa，回水温度＜43℃,BOOLEAN,,1,,,4,no
KF-O-P01E03,KF-O-P01E03I05,空压机和电机各轴承温度＜70℃、振动＜85um，电机温升＜55℃，无异音,BOOLEAN,,1,,,4,no
KF-O-P01E04,KF-O-P01E04I01,出口空气温度＜100℃,BOOLEAN,,1,,,4,no
KF-O-P01E04,KF-O-P01E04I02,出口空气压力0.6-0.85MPa,BOOLEAN,,1,,,4,no
KF-O-P01E04,KF-O-P01E04I03,油分离器油位＞2/3,BOOLEAN,,1,,,4,no
KF-O-P01E04,KF-O-P01E04I04,进水压力＞0.25MPa，回水温度＜43℃,BOOLEAN,,1,,,4,no
KF-O-P01E04,KF-O-P01E04I05,空压机和电机各轴承温度＜70℃、振动＜85um，电机温升＜55℃，无异音,BOOLEAN,,1,,,4,no
KF-O-P01E05,KF-O-P01E05I01,压力正常，无漏气,BOOLEAN,,1,,,4,no
KF-O-P01E06,KF-O-P01E06I01,无报警，冷干机出口露点＜-60℃,BOOLEAN,,1,,,4,no
KF-O-P01E07,KF-O-P01E07I01,无报警，冷干机出口露点＜-60℃,BOOLEAN,,1,,,4,no
KF-O-P01E08,KF-O-P01E08I01,无报警，冷干机出口露点＜-60℃,BOOLEAN,,1,,,4,no
KF-O-P01E09,KF-O-P01E09I01,水泵压力＞0.3MPa,BOOLEAN,,1,,,4,no
KF-O-P01E09,KF-O-P01E09I02,水泵机封不漏水，泵和电机各轴承温度和振动正常，电机温升正常，无异音,BOOLEAN,,1,,,4,no
KF-O-P01E09,KF-O-P01E09I03,塔池无杂物；水位正常，＞塔池2/3，不溢流,BOOLEAN,,1,,,4,no
KF-O-P02E01,KF-O-P02E01I01,自洁式过滤器按时反吹，声音清脆，过滤器差压＜500Pa，电磁阀无漏气,BOOLEAN,,1,,,2,no
KF-O-P02E01,KF-O-P02E01I02,疏水器旁路阀有少量气体排出,BOOLEAN,,1,,,2,no
KF-O-P02E01,KF-O-P02E01I03,出口温度85-105℃，出口压力0.44-0.50MPa,BOOLEAN,,1,,,2,no
KF-O-P02E01,KF-O-P02E01I04,放空阀状态稳定无波动情况,BOOLEAN,,1,,,2,no
KF-O-P02E01,KF-O-P02E01I05,气路水路无泄漏无异常振动情况,BOOLEAN,,1,,,2,no
KF-O-P02E02,KF-O-P02E02I01,润滑油泵电流36A,NUMBER,A,1,0.0,100.0,2,no
KF-O-P02E02,KF-O-P02E02I02,润滑油泵泵后压力0.48MPa,NUMBER,MPa,1,0.0,100.0,2,no
KF-O-P02E02,KF-O-P02E02I03,润滑油泵电机轴温,NUMBER,℃,1,0.0,100.0,2,no
KF-O-P02E02,KF-O-P02E02I04,润滑油泵电机及油泵轴温＜70℃，电机及油泵振动＜85um，电机温升＜55℃，无异音，备用油泵进出口阀全开、无倒转、在远方,BOOLEAN,,1,,,2,no
KF-O-P02E02,KF-O-P02E02I05,油雾风机运行正常无异音，油雾排放顺畅；油雾风机和电机各轴承的温度和振动正常，电机温升正常,BOOLEAN,,1,,,2,no
KF-O-P02E02,KF-O-P02E02I06,润滑油冷却器后油温40-48℃,BOOLEAN,,1,,,2,no
KF-O-P02E02,KF-O-P02E02I07,油箱油位正常无明显变化，在标记刻度处，油系统无渗漏,BOOLEAN,,1,,,2,no
KF-O-P02E03,KF-O-P02E03I01,防喘阀状态稳定无波动情况,BOOLEAN,,1,,,2,no
KF-O-P02E03,KF-O-P02E03I02,气路水路无泄漏无异常振动情况,BOOLEAN,,1,,,2,no
KF-O-P02E03,KF-O-P02E03I03,一三五级气体冷却器运行无异常,BOOLEAN,,1,,,2,no
KF-O-P02E03,KF-O-P02E03I04,一二三四级冷却器进回水温升小于8℃,BOOLEAN,,1,,,2,no
KF-O-P02E04,KF-O-P02E04I01,润滑油泵电流25A,NUMBER,A,1,0.0,100.0,2,no
KF-O-P02E04,KF-O-P02E04I02,润滑油泵泵后压力0.55MPa,NUMBER,MPa,1,0.0,100.0,2,no
KF-O-P02E04,KF-O-P02E04I03,润滑油泵电机轴温,NUMBER,℃,1,0.0,100.0,2,no
KF-O-P02E04,KF-O-P02E04I04,润滑油泵电机及油泵轴温＜70℃，电机及油泵振动＜85um，电机温升＜55℃，无异音，备用油泵进出口阀全开、无倒转、在远方,BOOLEAN,,1,,,2,no
KF-O-P02E04,KF-O-P02E04I05,油雾风机运行正常无异音，油雾排放顺畅；油雾风机和电机各轴承的温度和振动正常，电机温升正常；油箱负压-500到-1500Pa,BOOLEAN,,1,,,2,no
KF-O-P02E04,KF-O-P02E04I06,润滑油冷却器后油温42±3℃,BOOLEAN,,1,,,2,no
KF-O-P02E04,KF-O-P02E04I07,油箱油位正常无明显变化，在标记刻度处，油系统无渗漏,BOOLEAN,,1,,,2,no
KF-O-P02E05,KF-O-P02E05I01,控制面板无报警，滤袋前压力-800Pa，过滤袋和风机压差正常，风机无异音，无冒烟、漏风、滴油现象,BOOLEAN,,1,,,2,no
KF-O-P03E01,KF-O-P03E01I01,氧含量分析仪示数为20.95%,BOOLEAN,,1,,,2,no
KF-O-P03E01,KF-O-P03E01I02,油雾分离器油雾排放顺畅无油烟味，油箱负压为-1.5到-2kpa,BOOLEAN,,1,,,2,no
KF-O-P03E01,KF-O-P03E01I03,各级密封漏气观察孔无气无油无水漏出,BOOLEAN,,1,,,2,no
KF-O-P03E01,KF-O-P03E01I04,油箱油位正常，无明显变化，在上下限刻度之间，油系统无漏油现象,BOOLEAN,,1,,,2,no
KF-O-P03E01,KF-O-P03E01I05,油压＞0.22Mpa，电机驱动端和非驱动端油压＞0.12MPa；电机两端轴承腔视镜和回油视镜油位＞1/2,BOOLEAN,,1,,,2,no
KF-O-P03E01,KF-O-P03E01I06,氮压机及齿轮箱、电机、主油泵、电机冷却风扇运行正常，无异音异常振动，电机轴承振动＜50um,BOOLEAN,,1,,,2,no
KF-O-P03E01,KF-O-P03E01I07,一二三级气体冷却器运行正常，进回水温差＜8℃,BOOLEAN,,1,,,2,no
KF-O-P03E01,KF-O-P03E01I08,入口导叶、放空阀运行状态稳定，无波动情况,BOOLEAN,,1,,,2,no
KF-O-P03E01,KF-O-P03E01I09,气路水路无泄漏无异常振动情况,BOOLEAN,,1,,,2,no
KF-O-P03E01,KF-O-P03E01I10,二级入口温度＜50℃,NUMBER,℃,1,0.0,100.0,2,no
KF-O-P04E01,KF-O-P04E01I01,进气温度、压力正常,BOOLEAN,,1,,,2,no
KF-O-P04E01,KF-O-P04E01I02,各级冷却器进排气压力正常,BOOLEAN,,1,,,2,no
KF-O-P04E01,KF-O-P04E01I03,供油母管油压0.2MPa，油温40-48℃,BOOLEAN,,1,,,2,no
KF-O-P04E01,KF-O-P04E01I04,各分支轴承供油压力由南往北依次为0.06MPa、0.05MPa、0.12MPa、0.13MPa、0.12MPa、0.15MPa；各轴承回油顺畅，油温＜70℃,BOOLEAN,,1,,,2,no
KF-O-P04E01,KF-O-P04E01I05,电机冷却器进风温度＜80℃，两侧出风温度＜40℃,BOOLEAN,,1,,,2,no
