pointId,name,location,routeId,tagUid
KF-O-P01,仪用空压机房,仪用空压机房,KF-O,0423AAFAFE1291
KF-O-P02,空分厂房一层,空分厂房一层,KF-O,04759EFAFE1290
KF-O-P03,氮压机区域,氮压机区域,KF-O,0438BFFAFE1290
KF-O-P04,空分厂房二层,空分厂房二层,KF-O,044555FAFE1291
KF-O-P05,空分水泵房,空分水泵房,KF-O,0400C0FAFE1291
KF-O-P06,预冷纯化区域,预冷纯化区域,KF-O,0447BCFAFE1291
KF-O-P07,膨胀机区域,膨胀机区域,KF-O,04C14BFAFE1290
KF-O-P08,氧氮泵区域,氧氮泵区域,KF-O,0400C1FAFE1291
KF-O-P09,冷箱区域,冷箱区域,KF-O,04E5A9FAFE1290
KF-O-P10,液体贮存区域,液体贮存区域,KF-O,04C287FAFE1290
KF-O-P11,空分小锅炉房,空分小锅炉房,KF-O,045AEBFAFE1291
KF-C-P01,仪用空压机房,仪用空压机房,KF-C,04654AFAFE1290
KF-C-P02,空分厂房一层,空分厂房一层,KF-C,044547FAFE1291
KF-C-P03,氮压机区域,氮压机区域,KF-C,046562FAFE1290
KF-C-P04,空分厂房二层,空分厂房二层,KF-C,041C9BFAFE1291
KF-C-P05,空分水泵房,空分水泵房,KF-C,043E73FAFE1291
KF-C-P06,预冷纯化区域,预冷纯化区域,KF-C,046558FAFE1290
KF-C-P07,膨胀机区域,膨胀机区域,KF-C,040389FAFE1291
KF-C-P08,氧氮泵区域,氧氮泵区域,KF-C,0475C5FAFE1291
KF-C-P09,冷箱区域,冷箱区域,KF-C,045F00FAFE1294
KF-C-P10,液体贮存区域,液体贮存区域,KF-C,045BE9FAFE1291
KF-C-P11,空分小锅炉房,空分小锅炉房,KF-C,04FEEFFAFE1290
