pointId,name,location,routeId,tagUid
LGI-RJ-W-P01,【机务】#4汽机房三层热网区域,【机务】#4汽机房三层热网区域,LGI-W,042C43FAFE1291
LGI-RJ-W-P02,【机务】#4汽机房三层闭式水箱,【机务】#4汽机房三层闭式水箱,LGI-W,042143FAFE1291
LGI-RJ-W-P03,【机务】#4汽机房三层汽机本体,【机务】#4汽机房三层汽机本体,LGI-W,04C1FCFAFE1290
LGI-RJ-W-P04,【机务】#3燃机压气机进气单元,【机务】#3燃机压气机进气单元,LGI-W,045536FAFE1291
LGI-RJ-W-P05,【机务】#4汽机房二层润滑油区域,【机务】#4汽机房二层润滑油区域,LGI-W,04BAEBFAFE1290
LGI-RJ-W-P06,【机务】#4汽机房二层轴封区域,【机务】#4汽机房二层轴封区域,LGI-W,0423A6FAFE1291
LGI-RJ-W-P07,【机务】#4汽机房二层辅汽联箱区域,【机务】#4汽机房二层辅汽联箱区域,LGI-W,04A528FAFE1290
LGI-RJ-W-P08,【机务】#4汽机房二层热网及厂内采暖区域,【机务】#4汽机房二层热网及厂内采暖区域,LGI-W,040735FAFE1291
LGI-RJ-W-P09,【机务】#4汽机房一层热网区域,【机务】#4汽机房一层热网区域,LGI-W,04A336FAFE1290
LGI-RJ-W-P10,【机务】#4汽机房一层仪表空压机区域,【机务】#4汽机房一层仪表空压机区域,LGI-W,04C255FAFE1290
LGI-RJ-W-P11,【机务】#4汽机房一层闭式水泵区域,【机务】#4汽机房一层闭式水泵区域,LGI-W,04754CFAFE1291
LGI-RJ-W-P12,【机务】#4汽机房一层凝结水泵区域,【机务】#4汽机房一层凝结水泵区域,LGI-W,047673FAFE1290
LGI-RJ-W-P13,【机务】#4汽机房一层轴封加热器区域,【机务】#4汽机房一层轴封加热器区域,LGI-W,04235FFAFE1291
LGI-RJ-W-P14,【机务】#3燃机房一层南侧,【机务】#3燃机房一层南侧,LGI-W,042384FAFE1291
LGI-RJ-W-P15,【机务】#3燃机发电机平台及罩壳顶部,【机务】#3燃机发电机平台及罩壳顶部,LGI-W,047566FAFE1291
LGI-RJ-W-P16,【机务】#3燃机房一层北侧,【机务】#3燃机房一层北侧,LGI-W,04292AFAFE1291
LGI-RJ-W-P17,【机务】#3燃机检修油箱,【机务】#3燃机检修油箱,LGI-W,045549FAFE1291
LGI-RJ-W-P18,【机务】#3燃机特消模块,【机务】#3燃机特消模块,LGI-W,04B3A1FAFE1290
LGI-RJ-W-P19,【机务】#3余热锅炉给水泵房高压给水泵区域,【机务】#3余热锅炉给水泵房高压给水泵区域,LGI-W,04219AFAFE1291
LGI-RJ-W-P20,【机务】#3余热锅炉给水泵房水水换热器区域,【机务】#3余热锅炉给水泵房水水换热器区域,LGI-W,047674FAFE1290
LGI-RJ-W-P21,【机务】#3余热锅炉给水泵房中压给水泵区域,【机务】#3余热锅炉给水泵房中压给水泵区域,LGI-W,040A41FAFE1291
LGI-RJ-W-P22,【机务】#3余热锅炉减温水平台,【机务】#3余热锅炉减温水平台,LGI-W,044C80FAFE1291
LGI-RJ-W-P23,【机务】#3余热锅炉汽包层,【机务】#3余热锅炉汽包层,LGI-W,04679FFAFE1291
LGI-RJ-W-P24,【机务】#3余热锅炉定排罐,【机务】#3余热锅炉定排罐,LGI-W,04402CFAFE1291
LGI-RJ-W-P25,【机务】#3余热锅炉定排水池及排污泵,【机务】#3余热锅炉定排水池及排污泵,LGI-W,047144FAFE1290
LGI-RJ-W-P26,【机务】#3循环水塔池及阀门井,【机务】#3循环水塔池及阀门井,LGI-W,042173FAFE1291
LGI-RJ-W-P27,【机务】循环水泵房,【机务】循环水泵房,LGI-W,0475A7FAFE1291
LGI-HS-W-P08,【化水】汽机加药间,【化水】汽机加药间,LGI-W,04455CFAFE1291
LGI-HS-W-P09,【化水】汽水取样间,【化水】汽水取样间,LGI-W,04456AFAFE1291
LGI-HS-W-P10,【化水】循环水泵房,【化水】循环水泵房,LGI-W,04B38BFAFE1290
LGI-DQ-W-P01,【电气】电子间,【电气】电子间,LGI-W,047657FAFE1290
LGI-DQ-W-P02,【电气】汽机励磁小间,【电气】汽机励磁小间,LGI-W,042382FAFE1291
LGI-DQ-W-P03,【电气】汽机发电机,【电气】汽机发电机,LGI-W,04369EFAFE1290
LGI-DQ-W-P04,【电气】汽机封母,【电气】汽机封母,LGI-W,043892FAFE1290
LGI-DQ-W-P05,【电气】循环水泵房MCC配电室,【电气】循环水泵房MCC配电室,LGI-W,049E3AFAFE1290
LGI-DQ-W-P06,【电气】公用PC配电室,【电气】公用PC配电室,LGI-W,04E4D9FAFE1290
LGI-DQ-W-P07,【电气】3号4号机组直流及UPS室,【电气】3号4号机组直流及UPS室,LGI-W,04273BFAFE1291
LGI-DQ-W-P08,【电气】集控楼特殊消防IG541间,【电气】集控楼特殊消防IG541间,LGI-W,04A381FAFE1290
LGI-DQ-W-P09,【电气】集控楼蓄电池室,【电气】集控楼蓄电池室,LGI-W,045E9FFAFE1290
LGI-DQ-W-P10,【电气】柴油机室,【电气】柴油机室,LGI-W,04A37BFAFE1290
