pointId,name,location,routeId,tagUid
LGO-RJ-W-P01,【机务】压缩空气储罐,【机务】压缩空气储罐,LGO-W,04C1DDFAFE1290
LGO-RJ-W-P02,【机务】天然气调压站,【机务】天然气调压站,LGO-W,049D0BFAFE1294
LGO-RJ-W-P03,【机务】天然气增压机房,【机务】天然气增压机房,LGO-W,04C25BFAFE1290
LGO-RJ-W-P04,【机务】应急锅炉房一层,【机务】应急锅炉房一层,LGO-W,04A341FAFE1290
LGO-RJ-W-P05,【机务】应急锅炉房二层,【机务】应急锅炉房二层,LGO-W,04C9FBFAFE1290
LGO-RJ-W-P06,【机务】应急锅炉房三层,【机务】应急锅炉房三层,LGO-W,044041FAFE1291
LGO-RJ-W-P07,【机务】食堂天然气调压站,【机务】食堂天然气调压站,LGO-W,045BD7FAFE1291
LGO-RJ-W-P08,【机务】#3燃机前置模块,【机务】#3燃机前置模块,LGO-W,045FC7FAFE1290
LGO-RJ-W-P09,【机务】热网用户阀门及管道,【机务】热网用户阀门及管道,LGO-W,04D272FAFE1290
LGO-HS-W-P01,【化水】水处理一楼西侧,【化水】水处理一楼西侧,LGO-W,046535FAFE1290
LGO-HS-W-P02,【化水】水处理一楼东侧,【化水】水处理一楼东侧,LGO-W,04A529FAFE1290
LGO-HS-W-P03,【化水】水处理四楼东侧,【化水】水处理四楼东侧,LGO-W,04F2BDFAFE1290
LGO-HS-W-P04,【化水】水处理四楼西侧,【化水】水处理四楼西侧,LGO-W,045BBDFAFE1291
LGO-HS-W-P05,【化水】水处理加药间,【化水】水处理加药间,LGO-W,045EA6FAFE1290
LGO-HS-W-P06,【化水】水处理废水泵房,【化水】水处理废水泵房,LGO-W,045AB3FAFE1291
LGO-HS-W-P07,【化水】海水净化车间,【化水】海水净化车间,LGO-W,040736FAFE1291
LGO-HS-W-P11,【化水】氨站,【化水】氨站,LGO-W,041F7CFAFE1291
LGO-HS-W-P12,【化水】氢站,【化水】氢站,LGO-W,04B368FAFE1290
LGO-DQ-W-P14,【电气】厂前区配电室,【电气】厂前区配电室,LGO-W,0436A2FAFE1290
LGO-DQ-W-P15,【电气】锅炉补给水PC配电室,【电气】锅炉补给水PC配电室,LGO-W,04BCE4FAFE1290
LGO-DQ-W-P16,【电气】化学变频器室,【电气】化学变频器室,LGO-W,045AC2FAFE1291
LGO-DQ-W-P28,【电气】应急锅炉变配电间,【电气】应急锅炉变配电间,LGO-W,04077FFAFE1291
LGO-DQ-W-P29,【电气】增压机变频器室,【电气】增压机变频器室,LGO-W,041CB3FAFE1291
LGO-DQ-W-P30,【电气】调压站MCC配电室,【电气】调压站MCC配电室,LGO-W,04292BFAFE1291
LGO-DQ-W-P31,【电气】氨区MCC配电室,【电气】氨区MCC配电室,LGO-W,044563FAFE1291
LGO-DQ-W-P32,【电气】材料库MCC配电室,【电气】材料库MCC配电室,LGO-W,0438D3FAFE1290
LGO-DQ-W-P33,【电气】厂前区低压变A室,【电气】厂前区低压变A室,LGO-W,04A377FAFE1290
LGO-DQ-W-P34,【电气】化学水车间电缆夹层,【电气】化学水车间电缆夹层,LGO-W,041F52FAFE1291
LGO-DQ-W-P35,【电气】应急锅炉变频器室,【电气】应急锅炉变频器室,LGO-W,049E18FAFE1290
LGO-RJ-S-P01,【机务】压缩空气储罐,【机务】压缩空气储罐,LGO-S,0436A1FAFE1290
LGO-RJ-S-P02,【机务】天然气调压站,【机务】天然气调压站,LGO-S,0475AFFAFE1291
LGO-RJ-S-P03,【机务】天然气增压机房,【机务】天然气增压机房,LGO-S,04CA03FAFE1294
LGO-RJ-S-P04,【机务】应急锅炉房一层,【机务】应急锅炉房一层,LGO-S,04B3ACFAFE1290
LGO-RJ-S-P05,【机务】应急锅炉房二层,【机务】应急锅炉房二层,LGO-S,04B11CFAFE1290
LGO-RJ-S-P06,【机务】应急锅炉房三层,【机务】应急锅炉房三层,LGO-S,040732FAFE1291
LGO-RJ-S-P07,【机务】食堂天然气调压站,【机务】食堂天然气调压站,LGO-S,0400C7FAFE1291
LGO-RJ-S-P08,【机务】#3燃机前置模块,【机务】#3燃机前置模块,LGO-S,04764FFAFE1290
LGO-HS-S-P01,【化水】水处理一楼西侧,【化水】水处理一楼西侧,LGO-S,046535FAFE1290
LGO-HS-S-P02,【化水】水处理一楼东侧,【化水】水处理一楼东侧,LGO-S,04A529FAFE1290
LGO-HS-S-P03,【化水】水处理四楼东侧,【化水】水处理四楼东侧,LGO-S,04F2BDFAFE1290
LGO-HS-S-P04,【化水】水处理四楼西侧,【化水】水处理四楼西侧,LGO-S,045BBDFAFE1291
LGO-HS-S-P05,【化水】水处理加药间,【化水】水处理加药间,LGO-S,045EA6FAFE1290
LGO-HS-S-P06,【化水】水处理废水泵房,【化水】水处理废水泵房,LGO-S,045AB3FAFE1291
LGO-HS-S-P07,【化水】海水净化车间,【化水】海水净化车间,LGO-S,040736FAFE1291
LGO-HS-S-P11,【化水】氨站,【化水】氨站,LGO-S,041F7CFAFE1291
LGO-HS-S-P12,【化水】氢站,【化水】氢站,LGO-S,04B368FAFE1290
LGO-DQ-S-P14,【电气】厂前区配电室,【电气】厂前区配电室,LGO-S,0436A2FAFE1290
LGO-DQ-S-P15,【电气】锅炉补给水PC配电室,【电气】锅炉补给水PC配电室,LGO-S,04BCE4FAFE1290
LGO-DQ-S-P16,【电气】化学变频器室,【电气】化学变频器室,LGO-S,045AC2FAFE1291
