pointId,name,location,routeId,tagUid
QH1-O-P01,火炬、天然气调压站,厂后区,QH1-O,04C1BCFAFE1290
QH1-O-P02,IG泵房,厂后区,QH1-O,040397FAFE1291
QH1-O-P03,地下凝液槽,厂后区,QH1-O,04485BFAFE1291
QH1-O-P04,灰库,气化区域,QH1-O,044CCBFAFE1291
QH1-O-P05,P3304/P3931,调和水泵房,QH1-O,040A54FAFE1291
QH1-O-P06,P3401,渣水循环泵房,QH1-O,042C21FAFE1291
QH1-O-P07,磨煤,磨煤区域,QH1-O,042922FAFE1291
QH1-O-P08,K3301,激冷气压缩机,QH1-O,0447B8FAFE1291
QH1-O-P09,U3900泵房,气化区域,QH1-O,04482DFAFE1291
QH1-O-P10,U3700泵房,气化区域,QH1-O,045BC4FAFE1291
QH1-O-P11,U3600泵房,气化区域,QH1-O,045AB7FAFE1291
QH1-O-P12,酸碱罐,气化区域,QH1-O,04757DFAFE1291
QH1-O-P13,P3709泵房,气化区域,QH1-O,04556FFAFE1291
QH1-O-P14,加药泵,气化区域,QH1-O,044842FAFE1291
QH1-O-P15,滤饼房,气化区域,QH1-O,043E7CFAFE1291
QH1-O-P16,凝液泵房,气化区域,QH1-O,040A47FAFE1291
QH1-C-P01,火炬、天然气调压站,厂后区,QH1-C,045AB5FAFE1291
QH1-C-P02,IG泵房,厂后区,QH1-C,0400B0FAFE1291
QH1-C-P03,地下凝液槽,厂后区,QH1-C,04E56AFAFE1290
QH1-C-P04,灰库,气化区域,QH1-C,04C9F3FAFE1290
QH1-C-P05,P3304/P3931,调和水泵房,QH1-C,0438BEFAFE1290
QH1-C-P06,P3401,渣水循环泵房,QH1-C,049E09FAFE1294
QH1-C-P07,磨煤,磨煤区域,QH1-C,04E4B4FAFE1290
QH1-C-P08,K3301,激冷气压缩机,QH1-C,044C87FAFE1291
QH1-C-P09,U3900泵房,气化区域,QH1-C,04D294FAFE1290
QH1-C-P10,U3700泵房,气化区域,QH1-C,041C9DFAFE1291
QH1-C-P11,U3600泵房,气化区域,QH1-C,04326CFAFE1290
QH1-C-P12,酸碱罐,气化区域,QH1-C,042150FAFE1291
QH1-C-P13,P3709泵房,气化区域,QH1-C,04B393FAFE1290
QH1-C-P14,加药泵,气化区域,QH1-C,04E55CFAFE1290
QH1-C-P15,滤饼房,气化区域,QH1-C,045BCDFAFE1291
QH1-C-P16,凝液泵房,气化区域,QH1-C,0403E5FAFE1291
