equipmentId,itemId,itemName,type,unit,required,minValue,maxValue,freqHours,requiredInStandby
QH2-O-P01E01,QH2-O-P01E01I01,汽包及附属管线 ：无跑冒、无泄漏、无异常放空,BOOLEAN,,1,,,4,no
QH2-O-P01E02,QH2-O-P01E02I01,反吹PLC控制柜 ：是否正常,BOOLEAN,,1,,,4,no
QH2-O-P01E02,QH2-O-P01E02I02,95米层框架 ：无跑冒、无泄漏、无异音,BOOLEAN,,1,,,4,no
QH2-O-P02E01,QH2-O-P02E01I01,放空无煤粉 ：是否正常,BOOLEAN,,1,,,4,yes
QH2-O-P02E01,QH2-O-P02E01I02,反吹阀前压力 ：≧0.4MPa,NUMBER,MPa,1,0.4,0.5,4,yes
QH2-O-P02E01,QH2-O-P02E01I03,反吹声音正常 ：是否正常,BOOLEAN,,1,,,4,yes
QH2-O-P02E02,QH2-O-P02E02I01,放空无煤粉 ：是否正常,BOOLEAN,,1,,,4,yes
QH2-O-P02E02,QH2-O-P02E02I02,反吹阀前压力 ：≧0.4MPa,NUMBER,MPa,1,0.4,0.5,4,yes
QH2-O-P02E02,QH2-O-P02E02I03,反吹声音正常 ：是否正常,BOOLEAN,,1,,,4,yes
QH2-O-P02E03,QH2-O-P02E03I01,放空无煤粉 ：是否正常,BOOLEAN,,1,,,4,yes
QH2-O-P02E03,QH2-O-P02E03I02,反吹阀前压力 ：≧0.4MPa,NUMBER,MPa,1,0.4,0.5,4,yes
QH2-O-P02E03,QH2-O-P02E03I03,反吹声音正常 ：是否正常,BOOLEAN,,1,,,4,yes
QH2-O-P02E04,QH2-O-P02E04I01,反吹阀前压力 ：≧0.4MPa,NUMBER,MPa,1,0.4,0.5,4,yes
QH2-O-P02E04,QH2-O-P02E04I02,反吹声音正常 ：是否正常,BOOLEAN,,1,,,4,yes
QH2-O-P02E05,QH2-O-P02E05I01,反吹阀前压力 ：≧0.4MPa,NUMBER,MPa,1,0.4,0.5,4,yes
QH2-O-P02E05,QH2-O-P02E05I02,反吹声音正常 ：是否正常,BOOLEAN,,1,,,4,yes
QH2-O-P02E06,QH2-O-P02E06I01,反吹阀前压力 ：≧0.4MPa,NUMBER,MPa,1,0.4,0.5,4,yes
QH2-O-P02E06,QH2-O-P02E06I02,反吹声音正常 ：是否正常,BOOLEAN,,1,,,4,yes
QH2-O-P02E07,QH2-O-P02E07I01,合成气管道 ：无泄漏,BOOLEAN,,1,,,4,yes
QH2-O-P02E07,QH2-O-P02E07I02,82米层框架 ：无跑冒、无泄漏,BOOLEAN,,1,,,4,no
QH2-O-P03E01,QH2-O-P03E01I01,运行情况 ：运行无异音,BOOLEAN,,1,,,4,yes
QH2-O-P03E01,QH2-O-P03E01I02,运行情况 ：运行无漏粉,BOOLEAN,,1,,,4,yes
QH2-O-P03E01,QH2-O-P03E01I03,密封气投运情况 ：是否正常投运，压力≧0.1MPa,NUMBER,MPa,1,0.1,0.5,4,yes
QH2-O-P03E01,QH2-O-P03E01I04,电机驱动端轴承温度 ：是否正常，超过60℃汇报,NUMBER,℃,1,20.0,60.0,4,yes
QH2-O-P03E01,QH2-O-P03E01I05,电机非驱动端轴承温度 ：是否正常，超过60℃汇报,NUMBER,℃,1,20.0,60.0,4,yes
QH2-O-P03E01,QH2-O-P03E01I06,电机本体温度 ：是否正常，超过60℃汇报,NUMBER,℃,1,20.0,60.0,4,yes
QH2-O-P03E02,QH2-O-P03E02I01,运行无异音 ：运行无异音,BOOLEAN,,1,,,4,yes
QH2-O-P03E02,QH2-O-P03E02I02,运行无漏粉 ：运行无漏粉,BOOLEAN,,1,,,4,yes
QH2-O-P03E02,QH2-O-P03E02I03,密封气投运情况 ：是否正常投运，压力≧0.1MPa,NUMBER,MPa,1,0.1,0.5,4,yes
QH2-O-P03E02,QH2-O-P03E02I04,电机驱动端轴承温度 ：是否正常，超过60℃汇报,NUMBER,℃,1,20.0,60.0,4,yes
QH2-O-P03E02,QH2-O-P03E02I05,电机非驱动端轴承温度 ：是否正常，超过60℃汇报,NUMBER,℃,1,20.0,60.0,4,yes
QH2-O-P03E02,QH2-O-P03E02I06,电机本体温度 ：是否正常，超过60℃汇报,NUMBER,℃,1,20.0,60.0,4,yes
QH2-O-P03E03,QH2-O-P03E03I01,运行无异音 ：运行无异音,BOOLEAN,,1,,,4,yes
QH2-O-P03E03,QH2-O-P03E03I02,运行无漏粉 ：运行无漏粉,BOOLEAN,,1,,,4,yes
QH2-O-P03E03,QH2-O-P03E03I03,密封气投运情况 ：是否正常投运，压力≧0.1MPa,NUMBER,MPa,1,0.1,0.5,4,yes
QH2-O-P03E03,QH2-O-P03E03I04,电机驱动端轴承温度 ：是否正常，超过60℃汇报,NUMBER,℃,1,20.0,60.0,4,yes
QH2-O-P03E03,QH2-O-P03E03I05,电机非驱动端轴承温度 ：是否正常，超过60℃汇报,NUMBER,℃,1,20.0,60.0,4,yes
QH2-O-P03E03,QH2-O-P03E03I06,电机本体温度 ：是否正常，超过60℃汇报,NUMBER,℃,1,20.0,60.0,4,yes
QH2-O-P03E04,QH2-O-P03E04I01,泄压无跑粉 ：泄压阀门平台处无跑粉、无泄漏,BOOLEAN,,1,,,4,yes
QH2-O-P03E05,QH2-O-P03E05I01,泄压无跑粉 ：泄压阀门平台处无跑粉、无泄漏,BOOLEAN,,1,,,4,yes
QH2-O-P03E06,QH2-O-P03E06I01,泄压无跑粉 ：泄压阀门平台处无跑粉、无泄漏,BOOLEAN,,1,,,4,yes
QH2-O-P03E07,QH2-O-P03E07I01,73米层框架 ：无跑冒、无泄漏,BOOLEAN,,1,,,4,no
QH2-O-P04E01,QH2-O-P04E01I01,润滑油回路 ：油位不低于1/2，有无泄漏,BOOLEAN,,1,,,8,yes
QH2-O-P04E01,QH2-O-P04E01I02,运行无异音 ：运行无异音,BOOLEAN,,1,,,4,yes
QH2-O-P04E01,QH2-O-P04E01I03,节轴承密封气已投入，运行无异音 ：无异音、密封气流量6～10m3/h,NUMBER,m3/h,1,5.0,15.0,4,yes
QH2-O-P04E01,QH2-O-P04E01I04,电机驱动端轴承温度 ：是否正常，超过60℃汇报,NUMBER,℃,1,20.0,60.0,4,yes
QH2-O-P04E01,QH2-O-P04E01I05,电机非驱动端轴承温度 ：是否正常，超过60℃汇报,NUMBER,℃,1,20.0,60.0,4,yes
QH2-O-P04E01,QH2-O-P04E01I06,电机本体温度 ：是否正常，超过60℃汇报,NUMBER,℃,1,20.0,60.0,4,yes
QH2-O-P04E02,QH2-O-P04E02I01,润滑油回路 ：油位不低于1/2，有无泄漏,BOOLEAN,,1,,,8,yes
QH2-O-P04E02,QH2-O-P04E02I02,运行无异音 ：运行无异音,BOOLEAN,,1,,,4,yes
QH2-O-P04E02,QH2-O-P04E02I03,节轴承密封气已投入，运行无异音 ：无异音、密封气流量6～10m3/h,NUMBER,m3/h,1,5.0,15.0,4,yes
QH2-O-P04E02,QH2-O-P04E02I04,电机驱动端轴承温度 ：是否正常，超过60℃汇报,NUMBER,℃,1,20.0,60.0,4,yes
QH2-O-P04E02,QH2-O-P04E02I05,电机非驱动端轴承温度 ：是否正常，超过60℃汇报,NUMBER,℃,1,20.0,60.0,4,yes
QH2-O-P04E02,QH2-O-P04E02I06,电机本体温度 ：是否正常，超过60℃汇报,NUMBER,℃,1,20.0,60.0,4,yes
QH2-O-P04E03,QH2-O-P04E03I01,润滑油回路 ：油位不低于1/2，有无泄漏,BOOLEAN,,1,,,8,yes
QH2-O-P04E03,QH2-O-P04E03I02,运行无异音 ：运行无异音,BOOLEAN,,1,,,4,yes
QH2-O-P04E03,QH2-O-P04E03I03,节轴承密封气已投入，运行无异音 ：无异音、密封气流量6～10m3/h,NUMBER,m3/h,1,5.0,15.0,4,yes
QH2-O-P04E03,QH2-O-P04E03I04,电机驱动端轴承温度 ：是否正常，超过60℃汇报,NUMBER,℃,1,20.0,60.0,4,yes
QH2-O-P04E03,QH2-O-P04E03I05,电机非驱动端轴承温度 ：是否正常，超过60℃汇报,NUMBER,℃,1,20.0,60.0,4,yes
QH2-O-P04E03,QH2-O-P04E03I06,电机本体温度 ：是否正常，超过60℃汇报,NUMBER,℃,1,20.0,60.0,4,yes
QH2-O-P04E04,QH2-O-P04E04I01,润滑油回路 ：油位不低于1/2，有无泄漏,BOOLEAN,,1,,,8,yes
QH2-O-P04E04,QH2-O-P04E04I02,运行无异音 ：运行无异音,BOOLEAN,,1,,,4,yes
QH2-O-P04E04,QH2-O-P04E04I03,节轴承密封气已投入，运行无异音 ：无异音、密封气流量6～10m3/h,NUMBER,m3/h,1,5.0,15.0,4,yes
QH2-O-P04E04,QH2-O-P04E04I04,电机驱动端轴承温度 ：是否正常，超过60℃汇报,NUMBER,℃,1,20.0,60.0,4,yes
QH2-O-P04E04,QH2-O-P04E04I05,电机非驱动端轴承温度 ：是否正常，超过60℃汇报,NUMBER,℃,1,20.0,60.0,4,yes
QH2-O-P04E04,QH2-O-P04E04I06,电机本体温度 ：是否正常，超过60℃汇报,NUMBER,℃,1,20.0,60.0,4,yes
QH2-O-P04E05,QH2-O-P04E05I01,各螺旋输送机与旋转卸料阀处 ：无漏粉现象,BOOLEAN,,1,,,4,no
QH2-O-P04E06,QH2-O-P04E06I01,运行无异音 ：运行无异音,BOOLEAN,,1,,,4,yes
QH2-O-P04E06,QH2-O-P04E06I02,无漏粉现象 ：无漏粉现象,BOOLEAN,,1,,,4,yes
QH2-O-P04E06,QH2-O-P04E06I03,密封气投运情况 ：是否正常投运，压力≧0.1MPa,NUMBER,MPa,1,0.1,0.5,4,yes
QH2-O-P04E07,QH2-O-P04E07I01,运行无异音 ：运行无异音,BOOLEAN,,1,,,4,yes
QH2-O-P04E07,QH2-O-P04E07I02,无漏粉现象 ：无漏粉现象,BOOLEAN,,1,,,4,yes
QH2-O-P04E07,QH2-O-P04E07I03,密封气投运情况 ：是否正常投运，压力≧0.1MPa,NUMBER,MPa,1,0.1,0.5,4,yes
QH2-O-P04E08,QH2-O-P04E08I01,运行无异音 ：运行无异音,BOOLEAN,,1,,,4,yes
QH2-O-P04E08,QH2-O-P04E08I02,无漏粉现象 ：无漏粉现象,BOOLEAN,,1,,,4,yes
