equipmentId,equipmentName,pointId,statusRequired
QH2-O-P01E01,V3304汽包,QH2-O-P01,NO
QH2-O-P01E02,S3501B陶瓷过滤器,QH2-O-P01,NO
QH2-O-P02E01,S3103A大布袋A,QH2-O-P02,NO
QH2-O-P02E02,S3103B大布袋B,QH2-O-P02,NO
QH2-O-P02E03,S3103C大布袋C,QH2-O-P02,NO
QH2-O-P02E04,S3201A小布袋A,QH2-O-P02,NO
QH2-O-P02E05,S3201B小布袋B,QH2-O-P02,NO
QH2-O-P02E06,S3204小布袋,QH2-O-P02,NO
QH2-O-P02E07,82米层框架,QH2-O-P02,NO
QH2-O-P03E01,X3102A旋转卸料阀A,QH2-O-P03,NO
QH2-O-P03E02,X3102B旋转卸料阀B,QH2-O-P03,NO
QH2-O-P03E03,X3102C旋转卸料阀C,QH2-O-P03,NO
QH2-O-P03E04,S3201A小布袋A,QH2-O-P03,NO
QH2-O-P03E05,S3201B小布袋B,QH2-O-P03,NO
QH2-O-P03E06,S3204小布袋,QH2-O-P03,NO
QH2-O-P03E07,73米层,QH2-O-P03,NO
QH2-O-P04E01,X3103A螺旋输送机A,QH2-O-P04,YES
QH2-O-P04E02,X3103B螺旋输送机B,QH2-O-P04,YES
QH2-O-P04E03,X3103C螺旋输送机C,QH2-O-P04,YES
QH2-O-P04E04,X3104螺旋输送机,QH2-O-P04,NO
QH2-O-P04E05,粉煤分配系统,QH2-O-P04,NO
QH2-O-P04E06,X3201A螺旋输送机A,QH2-O-P04,YES
QH2-O-P04E07,X3202A旋转卸料阀A,QH2-O-P04,YES
QH2-O-P04E08,X3201B螺旋输送机B,QH2-O-P04,YES
QH2-O-P04E09,X3202B旋转卸料阀B,QH2-O-P04,YES
QH2-O-P04E10,X3205螺旋输送机,QH2-O-P04,NO
QH2-O-P04E11,X3206旋转卸料阀,QH2-O-P04,NO
QH2-O-P04E12,65米层,QH2-O-P04,NO
QH2-O-P05E01,5#煤烧嘴及附属管线,QH2-O-P05,NO
QH2-O-P05E02,6#煤烧嘴及附属管线,QH2-O-P05,NO
QH2-O-P05E03,57米氧气放空处,QH2-O-P05,NO
QH2-O-P05E04,57米层,QH2-O-P05,NO
QH2-O-P06E01,K3104A原煤仓排风机A,QH2-O-P06,YES
QH2-O-P06E02,S3101A原煤仓过滤器A,QH2-O-P06,YES
QH2-O-P06E03,K3104B原煤仓排风机B,QH2-O-P06,YES
QH2-O-P06E04,S3101B原煤仓过滤器B,QH2-O-P06,YES
QH2-O-P06E05,K3104C原煤仓排风机C,QH2-O-P06,YES
QH2-O-P06E06,S3101C原煤仓过滤器C,QH2-O-P06,YES
QH2-O-P06E07,1#煤烧嘴处,QH2-O-P06,NO
QH2-O-P06E08,2#煤烧嘴处,QH2-O-P06,NO
QH2-O-P06E09,3#煤烧嘴处,QH2-O-P06,NO
QH2-O-P06E10,4#煤烧嘴处,QH2-O-P06,NO
QH2-O-P06E11,开工烧嘴法兰处,QH2-O-P06,NO
QH2-O-P06E12,点火烧嘴法兰处,QH2-O-P06,NO
QH2-O-P06E13,48米层,QH2-O-P06,NO
QH2-O-P07E01,S3301A蒸汽过滤器,QH2-O-P07,YES
QH2-O-P07E02,S3301B蒸汽过滤器,QH2-O-P07,YES
QH2-O-P07E03,S3301C蒸汽过滤器,QH2-O-P07,YES
QH2-O-P07E04,S3301D蒸汽过滤器,QH2-O-P07,YES
QH2-O-P07E05,43米层,QH2-O-P07,NO
QH2-O-P08E01,E3306氧气预热器,QH2-O-P08,NO
QH2-O-P08E02,E3306氧气加热器出口锅炉水温度,QH2-O-P08,NO
QH2-O-P08E03,S3302调和水过滤器,QH2-O-P08,NO
QH2-O-P08E04,E3305调和水加热器,QH2-O-P08,NO
QH2-O-P08E05,E3305调和水加热器出口压力,QH2-O-P08,NO
QH2-O-P08E06,V3201向V3202下料,QH2-O-P08,NO
QH2-O-P08E07,38米层,QH2-O-P08,NO
QH2-O-P09E01,氧气总管,QH2-O-P09,NO
QH2-O-P09E02,空分来氧气总管,QH2-O-P09,NO
QH2-O-P09E03,V3504A通气锥,QH2-O-P09,NO
QH2-O-P09E04,V3504B通气锥,QH2-O-P09,NO
QH2-O-P09E05,E3305蒸汽凝液管,QH2-O-P09,NO
QH2-O-P09E06,32米层,QH2-O-P09,NO
QH2-O-P10E01,V3202A向V3203A下料处,QH2-O-P10,NO
QH2-O-P10E02,V3202B向V3203B下料处,QH2-O-P10,NO
QH2-O-P10E03,V3204向V3205下料处,QH2-O-P10,NO
QH2-O-P10E04,33FV0011处,QH2-O-P10,NO
QH2-O-P10E05,T3302炉水加药罐,QH2-O-P10,NO
QH2-O-P10E06,P3305A炉水加药泵A,QH2-O-P10,YES
QH2-O-P10E07,P3305B炉水加药泵B,QH2-O-P10,YES
QH2-O-P10E08,V3951排污闪蒸罐,QH2-O-P10,NO
QH2-O-P10E09,24米层,QH2-O-P10,NO
QH2-O-P11E01,P3301A中压循环水泵A,QH2-O-P11,YES
QH2-O-P11E02,P3301B中压循环水泵B,QH2-O-P11,YES
QH2-O-P11E03,P3301C中压循环水泵C,QH2-O-P11,YES
QH2-O-P11E04,E3321炉水取样冷却器,QH2-O-P11,NO
QH2-O-P11E05,F3101A热风炉A,QH2-O-P11,YES
QH2-O-P11E06,K3101A燃烧鼓风机A,QH2-O-P11,YES
QH2-O-P11E07,X3101A给煤机A,QH2-O-P11,YES
QH2-O-P11E08,F3101B热风炉B,QH2-O-P11,YES
QH2-O-P11E09,K3101B燃烧鼓风机B,QH2-O-P11,YES
QH2-O-P11E10,K3101A燃烧鼓风机B,QH2-O-P11,YES
QH2-O-P11E11,X3101B给煤机B,QH2-O-P11,YES
QH2-O-P11E12,F3101C热风炉C,QH2-O-P11,YES
QH2-O-P11E13,K3101C燃烧鼓风机C,QH2-O-P11,YES
QH2-O-P11E14,X3101C给煤机C,QH2-O-P11,YES
QH2-O-P11E15,16米层,QH2-O-P11,NO
QH2-O-P12E01,V3305调和水罐,QH2-O-P12,NO
QH2-O-P12E02,V3505向V3508下料处,QH2-O-P12,NO
QH2-O-P12E03,C3601洗涤塔,QH2-O-P12,NO
QH2-O-P12E04,E3951去U3800排污水,QH2-O-P12,NO
QH2-O-P12E05,E3951冷却水回水,QH2-O-P12,NO
QH2-O-P12E06,8米层,QH2-O-P12,NO
QH2-C-P01E01,气化框架13层,QH2-C-P01,NO
QH2-C-P02E01,气化/磨煤框架82米层,QH2-C-P02,NO
QH2-C-P03E01,气化/磨煤框架73米层,QH2-C-P03,NO
QH2-C-P04E01,气化/磨煤框架65米层,QH2-C-P04,NO
QH2-C-P05E01,气化/磨煤框架57米层,QH2-C-P05,NO
QH2-C-P06E01,气化/磨煤框架48米层,QH2-C-P06,NO
QH2-C-P07E01,气化/磨煤框架43米层,QH2-C-P07,NO
QH2-C-P08E01,气化/磨煤框架38米层,QH2-C-P08,NO
QH2-C-P09E01,气化/磨煤框架32米层,QH2-C-P09,NO
QH2-C-P10E01,气化/磨煤框架23米层,QH2-C-P10,NO
QH2-C-P11E01,气化/磨煤框架16米层,QH2-C-P11,NO
QH2-C-P12E01,气化框架8米层,QH2-C-P12,NO
