pointId,name,location,routeId,tagUid
RJ-W-P01,采暖泵房,集控楼西南侧,RJ-W,042376FAFE1291
RJ-W-P02,燃机房西侧,燃机房,RJ-W,044C7DFAFE1291
RJ-W-P03,燃机房东侧,燃机房,RJ-W,0475A0FAFE1290
RJ-W-P04,点火气小间,燃机房北侧,RJ-W,04A50BFAFE1290
RJ-W-P05,合成气罩壳,合成气区域,RJ-W,045FFFFAFE1290
RJ-W-P06,给水泵房,给水泵房,RJ-W,044053FAFE1291
RJ-W-P07,合成气区域,合成气区域,RJ-W,04E4CFFAFE1290
RJ-W-P08,余热锅炉汽包夹层区域,汽包,RJ-W,04C1C7FAFE1290
RJ-W-P09,汽机房闭式水泵区域,汽机房一层,RJ-W,04C29BFAFE1290
RJ-W-P10,汽机房凝结水泵区域,汽机房一层,RJ-W,04CA09FAFE1294
RJ-W-P11,汽机房二层,汽机房二层,RJ-W,045EB5FAFE1290
RJ-W-P12,汽机房三层,汽机房三层,RJ-W,0403ACFAFE1291
RJ-W-P13,热网泵房区域,热网泵房,RJ-W,04C014FAFE1290
RJ-W-P14,换热器小间区域,汽机房南侧,RJ-W,045FABFAFE1290
DQ-W-P19,燃机房MCC段盘柜,燃机房,RJ-W,047551FAFE1291
DQ-W-P20,燃机发电机罩壳,燃机房,RJ-W,04E4F6FAFE1290
DQ-W-P29,汽机房MCC A段盘柜,汽机房一层,RJ-W,04762CFAFE1290
DQ-W-P30,汽机房MCC B段盘柜,汽机房一层,RJ-W,041EF0FAFE1291
DQ-W-P31,汽机房MCC C段盘柜,汽机房一层,RJ-W,042362FAFE1291
DQ-W-P32,汽机房PT及励磁变,汽机房二层,RJ-W,04755CFAFE1291
DQ-W-P33,汽机房励磁小间,汽机房三层,RJ-W,04C9ECFAFE1290
DQ-W-P34,汽机发电机罩壳,汽机发电机罩壳,RJ-W,04FFE9FAFE1290
DQ-W-P35,余热锅炉MCC段盘柜,给水泵房,RJ-W,045E8EFAFE1290
RJ-S-P01,CC泵房,CC泵房,RJ-S,042763FAFE1291
RJ-S-P02,燃机房西侧,燃机房,RJ-S,042971FAFE1291
RJ-S-P03,燃机房东侧,燃机房,RJ-S,0475CEFAFE1291
RJ-S-P04,点火气小间,燃机房北侧,RJ-S,04E5AAFAFE1290
RJ-S-P05,合成气罩壳,合成气区域,RJ-S,0438B0FAFE1290
RJ-S-P06,给水泵房,给水泵房,RJ-S,049E01FAFE1294
RJ-S-P07,合成气区域,合成气区域,RJ-S,0403AEFAFE1291
RJ-S-P08,余热锅炉汽包夹层区域,汽包,RJ-S,041F66FAFE1291
RJ-S-P09,汽机房闭式水泵区域,汽机房一层,RJ-S,042191FAFE1291
RJ-S-P10,汽机房凝结水泵区域,汽机房一层,RJ-S,041EF6FAFE1291
RJ-S-P11,汽机房二层,汽机房二层,RJ-S,042C58FAFE1291
RJ-S-P12,汽机房三层,汽机房三层,RJ-S,0457D0FAFE1291
DQ-S-P19,燃机房MCC段盘柜,汽机房南侧,RJ-S,047551FAFE1291
DQ-S-P20,燃机发电机罩壳,燃机房,RJ-S,04E4F6FAFE1290
DQ-S-P29,汽机房MCC A段盘柜,汽机房一层,RJ-S,04762CFAFE1290
DQ-S-P30,汽机房MCC B段盘柜,汽机房一层,RJ-S,041EF0FAFE1291
DQ-S-P31,汽机房MCC C段盘柜,汽机房一层,RJ-S,042362FAFE1291
DQ-S-P32,汽机房PT及励磁变,汽机房二层,RJ-S,04755CFAFE1291
DQ-S-P33,汽机房励磁小间,汽机房三层,RJ-S,04C9ECFAFE1290
DQ-S-P34,汽机发电机罩壳,汽机发电机罩壳,RJ-S,04FFE9FAFE1290
DQ-S-P35,余热锅炉MCC段盘柜,给水泵房,RJ-S,045E8EFAFE1290
