equipmentId,itemId,itemName,type,unit,required,minValue,maxValue,freqHours
QH1-O-P01E01,QH1-O-P01E01I01,火炬燃烧情况：有无冒黑烟、喷黑水现象,BOOLEAN,,yes,,,4
QH1-O-P01E02,QH1-O-P01E02I01,火炬燃烧情况：有无冒黑烟、喷黑水现象,BOOLEAN,,yes,,,4
QH1-O-P01E03,QH1-O-P01E03I01,切排水情况：排污是否正常，有无堵塞,BOOLEAN,,yes,,,4
QH1-O-P01E04,QH1-O-P01E04I01,切排水情况：排污是否正常，有无堵塞,BOOLEAN,,yes,,,4
QH1-O-P01E05,QH1-O-P01E05I01,切排水情况：排污是否正常，有无堵塞,BOOLEAN,,yes,,,4
QH1-O-P01E06,QH1-O-P01E06I01,运行情况：排污是否正常，有无堵塞,BOOLEAN,,yes,,,4
QH1-O-P01E07,QH1-O-P01E07I01,天然气表计管道：有无泄漏，流量表显示正常,BOOLEAN,,yes,,,8
QH1-O-P01E07,QH1-O-P01E07I02,天然气流量：耗量是否正常,NUMBER,m3/h,yes,5,25,8
QH1-O-P01E07,QH1-O-P01E07I03,天然气减压阀后压力：是否正常，低于0.45MPa汇报,NUMBER,MPa,yes,0.4,0.6,8
QH1-O-P02E01,QH1-O-P02E01I01,泵驱动端轴承温度：是否正常，超过60℃汇报,NUMBER,°C,yes,20,60,2
QH1-O-P02E01,QH1-O-P02E01I02,泵非驱动端轴承温度：是否正常，超过60℃汇报,NUMBER,°C,yes,20,60,2
QH1-O-P02E01,QH1-O-P02E01I03,泵驱动端轴承振动（水平）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E01,QH1-O-P02E01I04,泵驱动端轴承振动（垂直）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E01,QH1-O-P02E01I05,泵驱动端轴承振动（轴向）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E01,QH1-O-P02E01I06,泵非驱动端轴承振动（水平）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E01,QH1-O-P02E01I07,泵非驱动端轴承振动（垂直）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E01,QH1-O-P02E01I08,泵非驱动端轴承振动（轴向）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E01,QH1-O-P02E01I09,电机驱动端轴承温度：是否正常，超过60℃汇报,NUMBER,°C,yes,20,60,2
QH1-O-P02E01,QH1-O-P02E01I10,电机非驱动端轴承温度：是否正常，超过60℃汇报,NUMBER,°C,yes,20,60,2
QH1-O-P02E01,QH1-O-P02E01I11,电机本体温度：是否正常，超过60℃汇报,NUMBER,°C,yes,20,60,2
QH1-O-P02E01,QH1-O-P02E01I12,电机驱动端轴承振动（水平）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E01,QH1-O-P02E01I13,电机驱动端轴承振动（垂直）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E01,QH1-O-P02E01I14,电机驱动端轴承振动（轴向）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E01,QH1-O-P02E01I15,电机非驱动端轴承振动（水平）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E01,QH1-O-P02E01I16,电机非驱动端轴承振动（垂直）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E01,QH1-O-P02E01I17,电机非驱动端轴承振动（轴向）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E01,QH1-O-P02E01I18,出口压力：是否正常,NUMBER,MPa,yes,0.2,0.5,8
QH1-O-P02E01,QH1-O-P02E01I19,密封水投入情况：是否投用，有无泄漏,BOOLEAN,,yes,,,2
QH1-O-P02E01,QH1-O-P02E01I20,润滑油回路：油位不低于1/2，有无泄漏,BOOLEAN,,yes,,,2
QH1-O-P02E02,QH1-O-P02E02I01,泵驱动端轴承温度：是否正常，超过60℃汇报,NUMBER,°C,yes,20,60,2
QH1-O-P02E02,QH1-O-P02E02I02,泵非驱动端轴承温度：是否正常，超过60℃汇报,NUMBER,°C,yes,20,60,2
QH1-O-P02E02,QH1-O-P02E02I03,泵驱动端轴承振动（水平）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E02,QH1-O-P02E02I04,泵驱动端轴承振动（垂直）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E02,QH1-O-P02E02I05,泵驱动端轴承振动（轴向）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E02,QH1-O-P02E02I06,泵非驱动端轴承振动（水平）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E02,QH1-O-P02E02I07,泵非驱动端轴承振动（垂直）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E02,QH1-O-P02E02I08,泵非驱动端轴承振动（轴向）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E02,QH1-O-P02E02I09,电机驱动端轴承温度：是否正常，超过60℃汇报,NUMBER,°C,yes,20,60,2
QH1-O-P02E02,QH1-O-P02E02I10,电机非驱动端轴承温度：是否正常，超过60℃汇报,NUMBER,°C,yes,20,60,2
QH1-O-P02E02,QH1-O-P02E02I11,电机本体温度：是否正常，超过60℃汇报,NUMBER,°C,yes,20,60,2
