pointId,name,location,routeId,tagUid
QH2-O-P01,气化框架88米层,气化框架,QH2-O,041CA9FAFE1291
QH2-O-P02,气化/磨煤框架82米层,气化/磨煤框架,QH2-O,041F6CFAFE1291
QH2-O-P03,气化/磨煤框架73米层,气化/磨煤框架,QH2-O,042735FAFE1291
QH2-O-P04,气化/磨煤框架65米层,气化/磨煤框架,QH2-O,04C106FAFE1294
QH2-O-P05,气化/磨煤框架57米层,气化/磨煤框架,QH2-O,04C256FAFE1290
QH2-O-P06,气化/磨煤框架48米层,气化/磨煤框架,QH2-O,04A35CFAFE1290
QH2-O-P07,气化/磨煤框架43米层,气化/磨煤框架,QH2-O,04C298FAFE1290
QH2-O-P08,气化/磨煤框架38米层,气化/磨煤框架,QH2-O,0432A1FAFE1290
QH2-O-P09,气化/磨煤框架32米层,气化/磨煤框架,QH2-O,045FE8FAFE1290
QH2-O-P10,气化/磨煤框架23米层,气化/磨煤框架,QH2-O,04AF1DFAFE1290
QH2-O-P11,气化/磨煤框架16米层,气化/磨煤框架,QH2-O,04B363FAFE1290
QH2-O-P12,气化框架8米层,气化框架,QH2-O,04A539FAFE1290
QH2-C-P01,气化框架88米层,气化框架,QH2-C,041F79FAFE1291
QH2-C-P02,气化/磨煤框架82米层,气化/磨煤框架,QH2-C,045572FAFE1291
QH2-C-P03,气化/磨煤框架73米层,气化/磨煤框架,QH2-C,045ACBFAFE1291
QH2-C-P04,气化/磨煤框架65米层,气化/磨煤框架,QH2-C,049E0EFAFE1290
QH2-C-P05,气化/磨煤框架57米层,气化/磨煤框架,QH2-C,040399FAFE1291
QH2-C-P06,气化/磨煤框架48米层,气化/磨煤框架,QH2-C,0400E3FAFE1291
QH2-C-P07,气化/磨煤框架43米层,气化/磨煤框架,QH2-C,04219BFAFE1291
QH2-C-P08,气化/磨煤框架38米层,气化/磨煤框架,QH2-C,042194FAFE1291
QH2-C-P09,气化/磨煤框架32米层,气化/磨煤框架,QH2-C,04452EFAFE1291
QH2-C-P10,气化/磨煤框架23米层,气化/磨煤框架,QH2-C,047556FAFE1291
QH2-C-P11,气化/磨煤框架16米层,气化/磨煤框架,QH2-C,0438DBFAFE1290
QH2-C-P12,气化框架8米层,气化框架,QH2-C,04E4B9FAFE1290
